recencia_dias,frecuencia,valor_total,avg_review_score,num_categorias,avg_delivery_days,churn
186,1,525.85,5.0,1,23.0,1
32,1,159.93,5.0,1,11.0,1
127,1,300.12,4.0,1,2.0,1
129,1,45.0,3.0,1,16.0,1
446,1,89.07,5.0,1,11.0,1
190,1,65.71,1.0,1,5.0,1
76,1,37.61,3.0,1,8.0,1
92,1,1222.15,5.0,1,16.0,1
53,1,738.91,5.0,1,9.0,1
128,1,86.95,5.0,1,23.0,1
161,1,176.16,4.0,1,6.0,1
104,1,244.47,4.0,1,4.0,1
276,1,201.06,5.0,1,3.0,1
142,1,117.16,4.0,1,20.0,1
602,1,156.22,5.0,1,7.0,1
24,1,86.94,5.0,1,30.0,1
297,1,138.08,4.0,1,15.0,1
155,1,152.16,5.0,1,12.0,1
133,1,64.0,4.0,1,19.0,1
39,1,60.22,3.0,1,8.0,1
152,1,215.76,5.0,1,9.0,1
54,1,121.45,5.0,1,21.0,1
